报告,编号,层级,来源,标题,URL,原文文件,文本层文件,取回方式,备注
供电架构,P1,一手,Open Compute Project,Diablo 400 Project: Rack and Power Base Specification v0.5.2,https://www.opencompute.org/documents/ocp-specification-diablo-400-v0p5p2-2025-05-30-pdf,P1_ocp-specification-diablo-400-v0p5p2-2025-05-30-pdf.pdf,,wayback:20260823121750,
供电架构,P2,一手,Open Compute Project,Diablo 400 Project: Rack and Power Base Specification v0.7.0,https://www.opencompute.org/documents/ocp-specification-diablo-400-v0-7-0-final-pdf,P2_ocp-specification-diablo-400-v0-7-0-final-pdf.pdf,,wayback:20260902014124,
供电架构,P3,一手,Open Compute Project,Open Rack V3 Base Specification Rev 1.0,https://www.opencompute.org/documents/open-rack-base-specification-version-3-pdf,P3_open-rack-base-specification-version-3-pdf.pdf,,wayback:20260823121750,
供电架构,P4,一手,Facebook / Microsoft,Overview of OCP Open Rack Standard V3 – Power System,https://146a55aca6f00848c565-a7635525d40ac1c70300198708936b4e.ssl.cf1.rackcdn.com/images/ef78c5d06d6ceb56cf22b5eb33d47aef4fefd545.pdf,P4_ef78c5d06d6ceb56cf22b5eb33d47aef4fefd545.pdf,,直连,
供电架构,P5,未获原文,Open Compute Project,ORV3 HVDC-LVDC 100kW Power Shelf Specification v1.0.0,https://www.opencompute.org/documents/orv3-hvdc-lvdc-100kw-power-shelf-spec-1-0-0-pdf,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P6,未获原文,Open Compute Project,DCF Power Distribution LVDC White Paper v1.0,https://www.opencompute.org/documents/dcf-power-distribution-lvdc-white-paper-version-1-0-final-pdf-1,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P7,一手,Open Compute Project,LVDC Solid-State Transformer Specification v0.3,https://www.opencompute.org/documents,,,未取得,站点反爬拦截，Wayback 亦无可用快照
供电架构,P8,一手,TE Connectivity / Amphenol,ORv3 48V Busbar and Connector Update,https://146a55aca6f00848c565-a7635525d40ac1c70300198708936b4e.ssl.cf1.rackcdn.com/images/d7ece3d72755c3d9178a9ba6e7ff7542c27ba677.pdf,P8_d7ece3d72755c3d9178a9ba6e7ff7542c27ba677.pdf,,直连,
供电架构,P9,一手,UL Standards &amp; Engagement / ANSI,"ANSI/UL 489I Ed.1, Standard for Solid State Circuit Breakers",https://www.shopulstandards.com/ProductDetail.aspx?productId=UL489I_1_S_20251022,P9_ProductDetail.html,,直连,
供电架构,P10,一手,IEC,"IEC 62040-5-3:2016 Ed.1.0, UPS — Part 5-3: DC output UPS",https://webstore.iec.ch/en/publication/26118,P10_webstore-iec-ch-26118.html,,直连,
